,ID,tweet,topic,label,partition,tweet_embedded
0,2312,i really don't understand how some people are pro-choice. a life is a life no matter if it's 2 weeks old or 20 years old.,Abortion,AGAINST,train,"What is the stance of the tweet below with respect to 'Legalization of Abortion'?  If we can infer from the tweet that the tweeter supports 'Legalization of Abortion', please label it as 'in-favor'. If we can infer from the tweet that the tweeter is against 'Legalization of Abortion', please label is as 'against'. If we can infer from the tweet that the tweeter has a neutral stance towards 'Legalization of Abortion', please label it as 'neutral-or-unclear'. If there is no clue in the tweet to reveal the stance of the tweeter towards 'Legalization of Abortion', please also label is as 'neutral-or-unclear'. Please use exactly one word from the following 3 categories to label it: 'in-favor', 'against', 'neutral-or-unclear'.  Here are some examples of tweets. Make sure to classify the last tweet correctly.
Q: Tweet: it's a free country. freedom includes freedom of choice.
Is this tweet in-favor, against, or neutral-or-unclear?
A: in-favor
Q: Tweet: i really don't understand how some people are pro-choice. a life is a life no matter if it's 2 weeks old or 20 years old.
Is this tweet in-favor, against, or neutral-or-unclear?
A: against
Q: Tweet: so ready for my abortion debate
Is this tweet in-favor, against, or neutral-or-unclear?
A: neutral-or-unclear
Q: Tweet: 'i really don't understand how some people are pro-choice. a life is a life no matter if it's 2 weeks old or 20 years old.'
Is this tweet in-favor, against, or neutral-or-unclear?
A: "
1,2313,let's agree that it's not ok to kill a 7lbs baby in the uterus @USERNAME #dnc #clinton2016 @USERNAME #procompromise,Abortion,AGAINST,train,"What is the stance of the tweet below with respect to 'Legalization of Abortion'?  If we can infer from the tweet that the tweeter supports 'Legalization of Abortion', please label it as 'in-favor'. If we can infer from the tweet that the tweeter is against 'Legalization of Abortion', please label is as 'against'. If we can infer from the tweet that the tweeter has a neutral stance towards 'Legalization of Abortion', please label it as 'neutral-or-unclear'. If there is no clue in the tweet to reveal the stance of the tweeter towards 'Legalization of Abortion', please also label is as 'neutral-or-unclear'. Please use exactly one word from the following 3 categories to label it: 'in-favor', 'against', 'neutral-or-unclear'.  Here are some examples of tweets. Make sure to classify the last tweet correctly.
Q: Tweet: it's a free country. freedom includes freedom of choice.
Is this tweet in-favor, against, or neutral-or-unclear?
A: in-favor
Q: Tweet: i really don't understand how some people are pro-choice. a life is a life no matter if it's 2 weeks old or 20 years old.
Is this tweet in-favor, against, or neutral-or-unclear?
A: against
Q: Tweet: so ready for my abortion debate
Is this tweet in-favor, against, or neutral-or-unclear?
A: neutral-or-unclear
Q: Tweet: 'let's agree that it's not ok to kill a 7lbs baby in the uterus @USERNAME #dnc #clinton2016 @USERNAME #procompromise'
Is this tweet in-favor, against, or neutral-or-unclear?
A: "
2,2314,"@USERNAME i would like to see poll: how many abortion doctors have told a woman 'no, an abortion is not required in your case.",Abortion,AGAINST,train,"What is the stance of the tweet below with respect to 'Legalization of Abortion'?  If we can infer from the tweet that the tweeter supports 'Legalization of Abortion', please label it as 'in-favor'. If we can infer from the tweet that the tweeter is against 'Legalization of Abortion', please label is as 'against'. If we can infer from the tweet that the tweeter has a neutral stance towards 'Legalization of Abortion', please label it as 'neutral-or-unclear'. If there is no clue in the tweet to reveal the stance of the tweeter towards 'Legalization of Abortion', please also label is as 'neutral-or-unclear'. Please use exactly one word from the following 3 categories to label it: 'in-favor', 'against', 'neutral-or-unclear'.  Here are some examples of tweets. Make sure to classify the last tweet correctly.
Q: Tweet: it's a free country. freedom includes freedom of choice.
Is this tweet in-favor, against, or neutral-or-unclear?
A: in-favor
Q: Tweet: i really don't understand how some people are pro-choice. a life is a life no matter if it's 2 weeks old or 20 years old.
Is this tweet in-favor, against, or neutral-or-unclear?
A: against
Q: Tweet: so ready for my abortion debate
Is this tweet in-favor, against, or neutral-or-unclear?
A: neutral-or-unclear
Q: Tweet: '@USERNAME i would like to see poll: how many abortion doctors have told a woman 'no, an abortion is not required in your case.'
Is this tweet in-favor, against, or neutral-or-unclear?
A: "
3,2315,democrats are always against 'personhood' or what they perceive to be legislation to recognize #personhood. always. #colorado,Abortion,AGAINST,train,"What is the stance of the tweet below with respect to 'Legalization of Abortion'?  If we can infer from the tweet that the tweeter supports 'Legalization of Abortion', please label it as 'in-favor'. If we can infer from the tweet that the tweeter is against 'Legalization of Abortion', please label is as 'against'. If we can infer from the tweet that the tweeter has a neutral stance towards 'Legalization of Abortion', please label it as 'neutral-or-unclear'. If there is no clue in the tweet to reveal the stance of the tweeter towards 'Legalization of Abortion', please also label is as 'neutral-or-unclear'. Please use exactly one word from the following 3 categories to label it: 'in-favor', 'against', 'neutral-or-unclear'.  Here are some examples of tweets. Make sure to classify the last tweet correctly.
Q: Tweet: it's a free country. freedom includes freedom of choice.
Is this tweet in-favor, against, or neutral-or-unclear?
A: in-favor
Q: Tweet: i really don't understand how some people are pro-choice. a life is a life no matter if it's 2 weeks old or 20 years old.
Is this tweet in-favor, against, or neutral-or-unclear?
A: against
Q: Tweet: so ready for my abortion debate
Is this tweet in-favor, against, or neutral-or-unclear?
A: neutral-or-unclear
Q: Tweet: 'democrats are always against 'personhood' or what they perceive to be legislation to recognize #personhood. always. #colorado'
Is this tweet in-favor, against, or neutral-or-unclear?
A: "
4,2316,"@USERNAME 'if you don't draw the line where i've arbitrarily drawn it, you can't draw it anywhere.' nonsense.",Abortion,NONE,train,"What is the stance of the tweet below with respect to 'Legalization of Abortion'?  If we can infer from the tweet that the tweeter supports 'Legalization of Abortion', please label it as 'in-favor'. If we can infer from the tweet that the tweeter is against 'Legalization of Abortion', please label is as 'against'. If we can infer from the tweet that the tweeter has a neutral stance towards 'Legalization of Abortion', please label it as 'neutral-or-unclear'. If there is no clue in the tweet to reveal the stance of the tweeter towards 'Legalization of Abortion', please also label is as 'neutral-or-unclear'. Please use exactly one word from the following 3 categories to label it: 'in-favor', 'against', 'neutral-or-unclear'.  Here are some examples of tweets. Make sure to classify the last tweet correctly.
Q: Tweet: it's a free country. freedom includes freedom of choice.
Is this tweet in-favor, against, or neutral-or-unclear?
A: in-favor
Q: Tweet: i really don't understand how some people are pro-choice. a life is a life no matter if it's 2 weeks old or 20 years old.
Is this tweet in-favor, against, or neutral-or-unclear?
A: against
Q: Tweet: so ready for my abortion debate
Is this tweet in-favor, against, or neutral-or-unclear?
A: neutral-or-unclear
Q: Tweet: '@USERNAME 'if you don't draw the line where i've arbitrarily drawn it, you can't draw it anywhere.' nonsense.'
Is this tweet in-favor, against, or neutral-or-unclear?
A: "
5,2317,"@USERNAME that lady needs help, mental illness is a serious issue.",Abortion,NONE,train,"What is the stance of the tweet below with respect to 'Legalization of Abortion'?  If we can infer from the tweet that the tweeter supports 'Legalization of Abortion', please label it as 'in-favor'. If we can infer from the tweet that the tweeter is against 'Legalization of Abortion', please label is as 'against'. If we can infer from the tweet that the tweeter has a neutral stance towards 'Legalization of Abortion', please label it as 'neutral-or-unclear'. If there is no clue in the tweet to reveal the stance of the tweeter towards 'Legalization of Abortion', please also label is as 'neutral-or-unclear'. Please use exactly one word from the following 3 categories to label it: 'in-favor', 'against', 'neutral-or-unclear'.  Here are some examples of tweets. Make sure to classify the last tweet correctly.
Q: Tweet: it's a free country. freedom includes freedom of choice.
Is this tweet in-favor, against, or neutral-or-unclear?
A: in-favor
Q: Tweet: i really don't understand how some people are pro-choice. a life is a life no matter if it's 2 weeks old or 20 years old.
Is this tweet in-favor, against, or neutral-or-unclear?
A: against
Q: Tweet: so ready for my abortion debate
Is this tweet in-favor, against, or neutral-or-unclear?
A: neutral-or-unclear
Q: Tweet: '@USERNAME that lady needs help, mental illness is a serious issue.'
Is this tweet in-favor, against, or neutral-or-unclear?
A: "
6,2318,new video: 'i'm not seeing it as a human being.' @USERNAME @USERNAME @USERNAME @USERNAME #prolife...,Abortion,AGAINST,train,"What is the stance of the tweet below with respect to 'Legalization of Abortion'?  If we can infer from the tweet that the tweeter supports 'Legalization of Abortion', please label it as 'in-favor'. If we can infer from the tweet that the tweeter is against 'Legalization of Abortion', please label is as 'against'. If we can infer from the tweet that the tweeter has a neutral stance towards 'Legalization of Abortion', please label it as 'neutral-or-unclear'. If there is no clue in the tweet to reveal the stance of the tweeter towards 'Legalization of Abortion', please also label is as 'neutral-or-unclear'. Please use exactly one word from the following 3 categories to label it: 'in-favor', 'against', 'neutral-or-unclear'.  Here are some examples of tweets. Make sure to classify the last tweet correctly.
Q: Tweet: it's a free country. freedom includes freedom of choice.
Is this tweet in-favor, against, or neutral-or-unclear?
A: in-favor
Q: Tweet: i really don't understand how some people are pro-choice. a life is a life no matter if it's 2 weeks old or 20 years old.
Is this tweet in-favor, against, or neutral-or-unclear?
A: against
Q: Tweet: so ready for my abortion debate
Is this tweet in-favor, against, or neutral-or-unclear?
A: neutral-or-unclear
Q: Tweet: 'new video: 'i'm not seeing it as a human being.' @USERNAME @USERNAME @USERNAME @USERNAME #prolife...'
Is this tweet in-favor, against, or neutral-or-unclear?
A: "
7,2319,"'we're all human, aren't we? every human life is worth the same, and worth saving.' -j.k. rowling #...",Abortion,AGAINST,train,"What is the stance of the tweet below with respect to 'Legalization of Abortion'?  If we can infer from the tweet that the tweeter supports 'Legalization of Abortion', please label it as 'in-favor'. If we can infer from the tweet that the tweeter is against 'Legalization of Abortion', please label is as 'against'. If we can infer from the tweet that the tweeter has a neutral stance towards 'Legalization of Abortion', please label it as 'neutral-or-unclear'. If there is no clue in the tweet to reveal the stance of the tweeter towards 'Legalization of Abortion', please also label is as 'neutral-or-unclear'. Please use exactly one word from the following 3 categories to label it: 'in-favor', 'against', 'neutral-or-unclear'.  Here are some examples of tweets. Make sure to classify the last tweet correctly.
Q: Tweet: it's a free country. freedom includes freedom of choice.
Is this tweet in-favor, against, or neutral-or-unclear?
A: in-favor
Q: Tweet: i really don't understand how some people are pro-choice. a life is a life no matter if it's 2 weeks old or 20 years old.
Is this tweet in-favor, against, or neutral-or-unclear?
A: against
Q: Tweet: so ready for my abortion debate
Is this tweet in-favor, against, or neutral-or-unclear?
A: neutral-or-unclear
Q: Tweet: ''we're all human, aren't we? every human life is worth the same, and worth saving.' -j.k. rowling #...'
Is this tweet in-favor, against, or neutral-or-unclear?
A: "
8,2320,someone snitched on the mom having sex with and playing naked twister with teens. i bet it was her cock blocking ass children.,Abortion,NONE,train,"What is the stance of the tweet below with respect to 'Legalization of Abortion'?  If we can infer from the tweet that the tweeter supports 'Legalization of Abortion', please label it as 'in-favor'. If we can infer from the tweet that the tweeter is against 'Legalization of Abortion', please label is as 'against'. If we can infer from the tweet that the tweeter has a neutral stance towards 'Legalization of Abortion', please label it as 'neutral-or-unclear'. If there is no clue in the tweet to reveal the stance of the tweeter towards 'Legalization of Abortion', please also label is as 'neutral-or-unclear'. Please use exactly one word from the following 3 categories to label it: 'in-favor', 'against', 'neutral-or-unclear'.  Here are some examples of tweets. Make sure to classify the last tweet correctly.
Q: Tweet: it's a free country. freedom includes freedom of choice.
Is this tweet in-favor, against, or neutral-or-unclear?
A: in-favor
Q: Tweet: i really don't understand how some people are pro-choice. a life is a life no matter if it's 2 weeks old or 20 years old.
Is this tweet in-favor, against, or neutral-or-unclear?
A: against
Q: Tweet: so ready for my abortion debate
Is this tweet in-favor, against, or neutral-or-unclear?
A: neutral-or-unclear
Q: Tweet: 'someone snitched on the mom having sex with and playing naked twister with teens. i bet it was her cock blocking ass children.'
Is this tweet in-favor, against, or neutral-or-unclear?
A: "
9,2321,"#sb724 passes sen. judiciary cmte.this bill is an effort to shame women out of their personal, private medical decision to have an",Abortion,FAVOR,train,"What is the stance of the tweet below with respect to 'Legalization of Abortion'?  If we can infer from the tweet that the tweeter supports 'Legalization of Abortion', please label it as 'in-favor'. If we can infer from the tweet that the tweeter is against 'Legalization of Abortion', please label is as 'against'. If we can infer from the tweet that the tweeter has a neutral stance towards 'Legalization of Abortion', please label it as 'neutral-or-unclear'. If there is no clue in the tweet to reveal the stance of the tweeter towards 'Legalization of Abortion', please also label is as 'neutral-or-unclear'. Please use exactly one word from the following 3 categories to label it: 'in-favor', 'against', 'neutral-or-unclear'.  Here are some examples of tweets. Make sure to classify the last tweet correctly.
Q: Tweet: it's a free country. freedom includes freedom of choice.
Is this tweet in-favor, against, or neutral-or-unclear?
A: in-favor
Q: Tweet: i really don't understand how some people are pro-choice. a life is a life no matter if it's 2 weeks old or 20 years old.
Is this tweet in-favor, against, or neutral-or-unclear?
A: against
Q: Tweet: so ready for my abortion debate
Is this tweet in-favor, against, or neutral-or-unclear?
A: neutral-or-unclear
Q: Tweet: '#sb724 passes sen. judiciary cmte.this bill is an effort to shame women out of their personal, private medical decision to have an'
Is this tweet in-favor, against, or neutral-or-unclear?
A: "
