ID,label,partition,topic
318,NONE,train,Atheism
364,NONE,train,Atheism
370,NONE,train,Atheism
381,AGAINST,train,Atheism
158,FAVOR,train,Atheism
328,FAVOR,train,Atheism
367,AGAINST,train,Atheism
357,NONE,train,Atheism
391,AGAINST,train,Atheism
486,FAVOR,train,Atheism
445,AGAINST,train,Atheism
256,AGAINST,train,Atheism
113,AGAINST,train,Atheism
280,AGAINST,train,Atheism
262,AGAINST,train,Atheism
308,FAVOR,train,Atheism
377,AGAINST,train,Atheism
305,NONE,train,Atheism
496,AGAINST,train,Atheism
295,AGAINST,train,Atheism
597,AGAINST,train,Atheism
489,AGAINST,train,Atheism
235,AGAINST,train,Atheism
337,NONE,train,Atheism
147,FAVOR,train,Atheism
139,AGAINST,train,Atheism
562,AGAINST,train,Atheism
477,FAVOR,train,Atheism
176,AGAINST,train,Atheism
144,AGAINST,train,Atheism
376,AGAINST,train,Atheism
217,AGAINST,train,Atheism
161,AGAINST,train,Atheism
516,AGAINST,train,Atheism
543,AGAINST,train,Atheism
426,NONE,train,Atheism
315,NONE,train,Atheism
491,AGAINST,train,Atheism
155,AGAINST,train,Atheism
348,NONE,train,Atheism
551,AGAINST,train,Atheism
196,AGAINST,train,Atheism
609,AGAINST,train,Atheism
542,AGAINST,train,Atheism
420,AGAINST,train,Atheism
129,AGAINST,train,Atheism
285,NONE,train,Atheism
289,AGAINST,train,Atheism
347,NONE,train,Atheism
300,FAVOR,train,Atheism
480,NONE,train,Atheism
579,FAVOR,train,Atheism
350,FAVOR,train,Atheism
430,FAVOR,train,Atheism
604,NONE,train,Atheism
320,NONE,train,Atheism
578,AGAINST,train,Atheism
440,AGAINST,train,Atheism
431,FAVOR,train,Atheism
359,AGAINST,train,Atheism
151,FAVOR,train,Atheism
509,AGAINST,train,Atheism
382,NONE,train,Atheism
189,AGAINST,train,Atheism
369,NONE,train,Atheism
471,FAVOR,train,Atheism
494,AGAINST,train,Atheism
296,AGAINST,train,Atheism
286,NONE,train,Atheism
490,AGAINST,train,Atheism
105,AGAINST,train,Atheism
306,AGAINST,train,Atheism
485,NONE,train,Atheism
119,FAVOR,train,Atheism
168,AGAINST,train,Atheism
165,AGAINST,train,Atheism
388,AGAINST,train,Atheism
401,AGAINST,train,Atheism
507,AGAINST,train,Atheism
428,FAVOR,train,Atheism
448,NONE,train,Atheism
124,AGAINST,train,Atheism
602,AGAINST,train,Atheism
126,FAVOR,train,Atheism
408,AGAINST,train,Atheism
344,NONE,train,Atheism
539,AGAINST,train,Atheism
595,NONE,train,Atheism
521,AGAINST,train,Atheism
325,FAVOR,train,Atheism
128,AGAINST,train,Atheism
232,AGAINST,train,Atheism
355,FAVOR,train,Atheism
383,FAVOR,train,Atheism
454,FAVOR,train,Atheism
493,AGAINST,train,Atheism
159,NONE,train,Atheism
556,AGAINST,train,Atheism
194,AGAINST,train,Atheism
112,AGAINST,train,Atheism
238,AGAINST,train,Atheism
505,AGAINST,train,Atheism
601,AGAINST,train,Atheism
361,FAVOR,train,Atheism
407,FAVOR,train,Atheism
157,FAVOR,train,Atheism
163,FAVOR,train,Atheism
153,FAVOR,train,Atheism
425,FAVOR,train,Atheism
111,FAVOR,train,Atheism
319,NONE,train,Atheism
180,NONE,train,Atheism
575,AGAINST,train,Atheism
249,AGAINST,train,Atheism
351,NONE,train,Atheism
588,AGAINST,train,Atheism
607,AGAINST,train,Atheism
463,FAVOR,train,Atheism
526,AGAINST,train,Atheism
203,FAVOR,train,Atheism
380,AGAINST,train,Atheism
135,NONE,train,Atheism
470,AGAINST,train,Atheism
442,FAVOR,train,Atheism
375,FAVOR,train,Atheism
222,AGAINST,train,Atheism
404,AGAINST,train,Atheism
199,AGAINST,train,Atheism
338,NONE,train,Atheism
110,NONE,train,Atheism
399,AGAINST,train,Atheism
525,AGAINST,train,Atheism
368,NONE,train,Atheism
412,NONE,train,Atheism
569,AGAINST,train,Atheism
202,FAVOR,train,Atheism
403,AGAINST,train,Atheism
468,FAVOR,train,Atheism
510,AGAINST,train,Atheism
178,FAVOR,train,Atheism
460,NONE,train,Atheism
600,NONE,train,Atheism
444,AGAINST,train,Atheism
279,NONE,train,Atheism
301,NONE,train,Atheism
312,AGAINST,train,Atheism
191,NONE,train,Atheism
148,NONE,train,Atheism
446,AGAINST,train,Atheism
389,NONE,train,Atheism
474,NONE,train,Atheism
261,AGAINST,train,Atheism
422,AGAINST,train,Atheism
205,AGAINST,train,Atheism
215,AGAINST,train,Atheism
208,AGAINST,train,Atheism
417,FAVOR,train,Atheism
130,NONE,train,Atheism
134,FAVOR,train,Atheism
495,AGAINST,train,Atheism
181,AGAINST,train,Atheism
245,FAVOR,train,Atheism
365,NONE,train,Atheism
169,AGAINST,train,Atheism
250,AGAINST,train,Atheism
313,AGAINST,train,Atheism
570,AGAINST,train,Atheism
455,AGAINST,train,Atheism
587,AGAINST,train,Atheism
545,AGAINST,train,Atheism
336,NONE,train,Atheism
473,FAVOR,train,Atheism
528,AGAINST,train,Atheism
254,FAVOR,train,Atheism
213,NONE,train,Atheism
419,AGAINST,train,Atheism
465,FAVOR,train,Atheism
146,FAVOR,train,Atheism
530,AGAINST,train,Atheism
555,AGAINST,train,Atheism
373,AGAINST,train,Atheism
167,AGAINST,train,Atheism
379,NONE,train,Atheism
519,AGAINST,train,Atheism
143,AGAINST,train,Atheism
439,FAVOR,train,Atheism
133,AGAINST,train,Atheism
332,NONE,train,Atheism
311,AGAINST,train,Atheism
170,AGAINST,train,Atheism
586,AGAINST,train,Atheism
606,AGAINST,train,Atheism
354,FAVOR,train,Atheism
544,AGAINST,train,Atheism
333,FAVOR,train,Atheism
550,AGAINST,train,Atheism
467,FAVOR,train,Atheism
457,AGAINST,train,Atheism
533,AGAINST,train,Atheism
136,AGAINST,train,Atheism
437,FAVOR,train,Atheism
239,AGAINST,train,Atheism
568,AGAINST,train,Atheism
259,FAVOR,train,Atheism
594,NONE,train,Atheism
260,NONE,train,Atheism
541,AGAINST,train,Atheism
282,NONE,train,Atheism
288,AGAINST,train,Atheism
125,AGAINST,train,Atheism
117,NONE,train,Atheism
115,AGAINST,train,Atheism
450,FAVOR,train,Atheism
149,AGAINST,train,Atheism
114,AGAINST,train,Atheism
585,AGAINST,train,Atheism
200,FAVOR,train,Atheism
534,AGAINST,train,Atheism
123,NONE,train,Atheism
571,AGAINST,train,Atheism
263,AGAINST,train,Atheism
492,AGAINST,train,Atheism
141,AGAINST,train,Atheism
278,NONE,train,Atheism
552,AGAINST,train,Atheism
611,AGAINST,train,Atheism
433,AGAINST,train,Atheism
323,NONE,train,Atheism
508,AGAINST,train,Atheism
518,AGAINST,train,Atheism
290,AGAINST,train,Atheism
106,AGAINST,train,Atheism
274,NONE,train,Atheism
183,FAVOR,train,Atheism
291,NONE,train,Atheism
227,AGAINST,train,Atheism
592,AGAINST,train,Atheism
506,AGAINST,train,Atheism
241,AGAINST,train,Atheism
386,NONE,train,Atheism
443,NONE,train,Atheism
242,FAVOR,train,Atheism
283,AGAINST,train,Atheism
536,AGAINST,train,Atheism
152,AGAINST,train,Atheism
322,NONE,train,Atheism
224,AGAINST,train,Atheism
150,FAVOR,train,Atheism
397,AGAINST,train,Atheism
472,AGAINST,train,Atheism
547,AGAINST,train,Atheism
184,NONE,train,Atheism
127,AGAINST,train,Atheism
590,AGAINST,train,Atheism
409,FAVOR,train,Atheism
276,AGAINST,train,Atheism
558,AGAINST,train,Atheism
402,NONE,train,Atheism
512,AGAINST,train,Atheism
116,AGAINST,train,Atheism
251,NONE,train,Atheism
281,NONE,train,Atheism
576,AGAINST,train,Atheism
255,AGAINST,train,Atheism
244,FAVOR,train,Atheism
223,AGAINST,train,Atheism
523,AGAINST,train,Atheism
304,NONE,train,Atheism
366,NONE,train,Atheism
233,AGAINST,train,Atheism
209,FAVOR,train,Atheism
137,NONE,train,Atheism
405,AGAINST,train,Atheism
546,AGAINST,train,Atheism
171,FAVOR,train,Atheism
228,NONE,train,Atheism
268,AGAINST,train,Atheism
257,NONE,train,Atheism
413,FAVOR,train,Atheism
236,AGAINST,train,Atheism
230,FAVOR,train,Atheism
459,AGAINST,train,Atheism
452,AGAINST,train,Atheism
436,NONE,train,Atheism
580,AGAINST,train,Atheism
384,AGAINST,train,Atheism
393,AGAINST,train,Atheism
441,NONE,train,Atheism
501,AGAINST,train,Atheism
513,AGAINST,train,Atheism
162,NONE,train,Atheism
497,AGAINST,train,Atheism
557,AGAINST,train,Atheism
500,AGAINST,train,Atheism
299,AGAINST,train,Atheism
342,FAVOR,train,Atheism
360,AGAINST,train,Atheism
395,FAVOR,train,Atheism
294,AGAINST,train,Atheism
204,FAVOR,train,Atheism
499,AGAINST,train,Atheism
372,AGAINST,train,Atheism
559,AGAINST,train,Atheism
352,NONE,train,Atheism
458,AGAINST,train,Atheism
462,AGAINST,train,Atheism
271,AGAINST,train,Atheism
353,FAVOR,train,Atheism
218,AGAINST,train,Atheism
121,AGAINST,train,Atheism
314,NONE,train,Atheism
358,AGAINST,train,Atheism
584,AGAINST,train,Atheism
316,NONE,train,Atheism
599,NONE,train,Atheism
610,AGAINST,train,Atheism
548,AGAINST,train,Atheism
410,AGAINST,train,Atheism
371,AGAINST,train,Atheism
108,FAVOR,train,Atheism
589,FAVOR,train,Atheism
456,AGAINST,train,Atheism
593,FAVOR,train,Atheism
343,AGAINST,train,Atheism
298,FAVOR,train,Atheism
449,NONE,train,Atheism
310,NONE,train,Atheism
103,AGAINST,train,Atheism
582,NONE,train,Atheism
469,AGAINST,train,Atheism
240,AGAINST,train,Atheism
529,AGAINST,train,Atheism
201,AGAINST,train,Atheism
264,AGAINST,train,Atheism
387,NONE,train,Atheism
220,FAVOR,train,Atheism
142,AGAINST,train,Atheism
118,AGAINST,train,Atheism
572,AGAINST,train,Atheism
451,AGAINST,train,Atheism
297,AGAINST,train,Atheism
400,AGAINST,train,Atheism
277,FAVOR,train,Atheism
195,AGAINST,train,Atheism
432,AGAINST,train,Atheism
583,NONE,train,Atheism
605,AGAINST,train,Atheism
293,AGAINST,train,Atheism
225,NONE,train,Atheism
504,AGAINST,train,Atheism
565,AGAINST,train,Atheism
206,AGAINST,train,Atheism
211,AGAINST,train,Atheism
166,AGAINST,train,Atheism
531,AGAINST,train,Atheism
331,NONE,train,Atheism
503,AGAINST,train,Atheism
231,AGAINST,train,Atheism
520,AGAINST,train,Atheism
145,AGAINST,train,Atheism
138,AGAINST,train,Atheism
515,AGAINST,train,Atheism
378,NONE,train,Atheism
484,NONE,train,Atheism
207,AGAINST,train,Atheism
392,AGAINST,train,Atheism
434,NONE,train,Atheism
107,AGAINST,train,Atheism
464,AGAINST,train,Atheism
394,NONE,train,Atheism
345,NONE,train,Atheism
553,AGAINST,train,Atheism
173,AGAINST,train,Atheism
522,AGAINST,train,Atheism
287,FAVOR,train,Atheism
435,FAVOR,train,Atheism
292,AGAINST,train,Atheism
284,AGAINST,train,Atheism
527,AGAINST,train,Atheism
414,NONE,train,Atheism
537,AGAINST,train,Atheism
101,AGAINST,train,Atheism
385,NONE,train,Atheism
266,NONE,train,Atheism
248,NONE,train,Atheism
214,AGAINST,train,Atheism
566,AGAINST,train,Atheism
253,NONE,train,Atheism
160,FAVOR,train,Atheism
415,FAVOR,train,Atheism
374,NONE,train,Atheism
307,NONE,train,Atheism
329,AGAINST,train,Atheism
356,FAVOR,train,Atheism
174,AGAINST,train,Atheism
140,AGAINST,train,Atheism
363,NONE,train,Atheism
349,FAVOR,train,Atheism
229,AGAINST,train,Atheism
563,AGAINST,train,Atheism
267,AGAINST,train,Atheism
560,AGAINST,train,Atheism
326,AGAINST,train,Atheism
421,AGAINST,train,Atheism
577,AGAINST,train,Atheism
216,AGAINST,train,Atheism
535,AGAINST,train,Atheism
309,AGAINST,train,Atheism
270,AGAINST,train,Atheism
317,NONE,train,Atheism
423,AGAINST,vali,Atheism
532,AGAINST,vali,Atheism
275,AGAINST,vali,Atheism
608,AGAINST,vali,Atheism
612,AGAINST,vali,Atheism
164,NONE,vali,Atheism
321,NONE,vali,Atheism
193,AGAINST,vali,Atheism
483,NONE,vali,Atheism
102,AGAINST,vali,Atheism
221,AGAINST,vali,Atheism
488,NONE,vali,Atheism
303,NONE,vali,Atheism
487,FAVOR,vali,Atheism
122,FAVOR,vali,Atheism
131,AGAINST,vali,Atheism
482,AGAINST,vali,Atheism
479,NONE,vali,Atheism
330,FAVOR,vali,Atheism
109,NONE,vali,Atheism
226,FAVOR,vali,Atheism
172,AGAINST,vali,Atheism
461,NONE,vali,Atheism
549,AGAINST,vali,Atheism
234,AGAINST,vali,Atheism
132,AGAINST,vali,Atheism
219,FAVOR,vali,Atheism
406,FAVOR,vali,Atheism
120,AGAINST,vali,Atheism
574,AGAINST,vali,Atheism
212,NONE,vali,Atheism
273,NONE,vali,Atheism
