,data_set,true_class,pred_NONE,pred_FAVOR,pred_AGAINST
0,train_raw,true_NONE,104,18,8
1,train_raw,true_FAVOR,3,79,1
2,train_raw,true_AGAINST,25,28,214
0,vali_raw,true_NONE,26,2,4
1,vali_raw,true_FAVOR,2,15,4
2,vali_raw,true_AGAINST,11,14,42
0,test_raw,true_NONE,30,10,5
1,test_raw,true_FAVOR,9,28,9
2,test_raw,true_AGAINST,59,47,82
0,train_upsampled,true_NONE,241,20,6
1,train_upsampled,true_FAVOR,6,256,5
2,train_upsampled,true_AGAINST,25,28,214
0,vali_upsampled,true_NONE,51,4,12
1,vali_upsampled,true_FAVOR,7,55,5
2,vali_upsampled,true_AGAINST,11,14,42
0,test_upsampled,true_NONE,129,39,20
1,test_upsampled,true_FAVOR,43,117,28
2,test_upsampled,true_AGAINST,59,47,82
