,data_set,true_class,pred_NONE,pred_FAVOR,pred_AGAINST
0,train_raw,true_NONE,125,1,4
1,train_raw,true_FAVOR,3,80,0
2,train_raw,true_AGAINST,11,14,242
0,vali_raw,true_NONE,24,3,5
1,vali_raw,true_FAVOR,1,17,3
2,vali_raw,true_AGAINST,8,15,44
0,test_raw,true_NONE,34,6,5
1,test_raw,true_FAVOR,4,30,12
2,test_raw,true_AGAINST,42,44,102
0,train_upsampled,true_NONE,267,0,0
1,train_upsampled,true_FAVOR,3,264,0
2,train_upsampled,true_AGAINST,11,14,242
0,vali_upsampled,true_NONE,48,7,12
1,vali_upsampled,true_FAVOR,5,55,7
2,vali_upsampled,true_AGAINST,8,15,44
0,test_upsampled,true_NONE,144,29,15
1,test_upsampled,true_FAVOR,17,134,37
2,test_upsampled,true_AGAINST,42,44,102
