,data_set,true_class,pred_NONE,pred_FAVOR,pred_AGAINST
0,train_raw,true_NONE,104,17,9
1,train_raw,true_FAVOR,8,69,6
2,train_raw,true_AGAINST,37,53,177
0,vali_raw,true_NONE,24,4,4
1,vali_raw,true_FAVOR,2,14,5
2,vali_raw,true_AGAINST,12,24,31
0,test_raw,true_NONE,32,6,7
1,test_raw,true_FAVOR,6,32,8
2,test_raw,true_AGAINST,59,51,78
0,train_upsampled,true_NONE,237,19,11
1,train_upsampled,true_FAVOR,16,238,13
2,train_upsampled,true_AGAINST,37,53,177
0,vali_upsampled,true_NONE,52,6,9
1,vali_upsampled,true_FAVOR,7,52,8
2,vali_upsampled,true_AGAINST,12,24,31
0,test_upsampled,true_NONE,134,25,29
1,test_upsampled,true_FAVOR,30,133,25
2,test_upsampled,true_AGAINST,59,51,78
