,data_set,true_class,pred_NONE,pred_FAVOR,pred_AGAINST
0,train_raw,true_NONE,109,11,10
1,train_raw,true_FAVOR,3,79,1
2,train_raw,true_AGAINST,26,46,195
0,vali_raw,true_NONE,20,8,4
1,vali_raw,true_FAVOR,1,16,4
2,vali_raw,true_AGAINST,9,15,43
0,test_raw,true_NONE,32,7,6
1,test_raw,true_FAVOR,4,31,11
2,test_raw,true_AGAINST,51,48,89
0,train_upsampled,true_NONE,247,8,12
1,train_upsampled,true_FAVOR,4,260,3
2,train_upsampled,true_AGAINST,26,46,195
0,vali_upsampled,true_NONE,44,14,9
1,vali_upsampled,true_FAVOR,5,55,7
2,vali_upsampled,true_AGAINST,9,15,43
0,test_upsampled,true_NONE,128,32,28
1,test_upsampled,true_FAVOR,9,140,39
2,test_upsampled,true_AGAINST,51,48,89
