,data_set,true_class,pred_NONE,pred_FAVOR,pred_AGAINST
0,train_raw,true_NONE,121,8,1
1,train_raw,true_FAVOR,5,76,2
2,train_raw,true_AGAINST,35,62,170
0,vali_raw,true_NONE,26,2,4
1,vali_raw,true_FAVOR,1,18,2
2,vali_raw,true_AGAINST,14,24,29
0,test_raw,true_NONE,35,8,2
1,test_raw,true_FAVOR,2,40,4
2,test_raw,true_AGAINST,55,72,61
0,train_upsampled,true_NONE,258,8,1
1,train_upsampled,true_FAVOR,9,253,5
2,train_upsampled,true_AGAINST,35,62,170
0,vali_upsampled,true_NONE,55,4,8
1,vali_upsampled,true_FAVOR,5,59,3
2,vali_upsampled,true_AGAINST,14,24,29
0,test_upsampled,true_NONE,146,33,9
1,test_upsampled,true_FAVOR,9,167,12
2,test_upsampled,true_AGAINST,55,72,61
